,disease.filename,disease.name,disease.summary
35,Adenoma_of_the_adrenal_gland,Adenoma ,"An adenoma (from Greek ad<U+03AD><U+03BD>a<U+03C2>, adeno-, ""gland"" + -<U+03CE>µa, -oma, ""tumor"") (/<U+02CC>æd<U+0268>'no<U+028A>m<U+0259>/; plural adenomas or adenomata /<U+02CC>æd<U+0268>'no<U+028A>m<U+0268>t<U+0259>/) is a benign tumor of epithelial tissue with glandular origin, glandular characteristics, or both. Adenomas can grow from many glandular organs, including the adrenal glands, pituitary gland, thyroid, prostate, and others. Some adenomas grow from epithelial tissue in nonglandular areas but express glandular tissue structure (as can happen in familial polyposis coli). Although adenomas are benign, over time they may transform to become malignant, at which point they are called adenocarcinomas. Most adenomas do not transform. But even while benign, they have the potential to cause serious health complications by compressing other structures (mass effect) and by producing large amounts of hormones in an unregulated, non-feedback-dependent manner (causing paraneoplastic syndromes). Some adenomas are too small to be seen macroscopically but can still cause clinical symptoms."
36,Adenosine_deaminase_deficiency,Adenosine deaminase deficiency ,"Adenosine deaminase deficiency, also called ADA deficiency or ADA-SCID,[1] is an autosomal recessive[2]metabolic disorder that causes immunodeficiency. It occurs in fewer than one in 100,000 live births worldwide."
37,Adenosine_monophosphate_deaminase_deficiency,Adenosine monophosphate deaminase deficiency type 1 ,"Adenosine monophosphate deaminase deficiency type 1, also called myoadenylate deaminase deficiency (MADD), is a recessive genetic metabolic disorder that affects approximately 1–2% of populations of European descent.[1] It appears to be considerably rarer in Asian populations.[1] The genetic form is caused by a defect in the gene for AMP deaminase[1] though there is also an acquired form of AMP deficiency."
38,Adrenal_hyperplasia_congenital,Congenital adrenal hyperplasia ,Congenital adrenal hyperplasia (CAH) are any of several autosomal recessive diseases resulting from mutations of genes for enzymes mediating the biochemical steps of production of cortisol from cholesterol by the adrenal glands (steroidogenesis).[1]
39,Adrenal_hypoplasia,X-linked adrenal hypoplasia congenita ,"X-linked adrenal hypoplasia congenita is a genetic disorder[1] that mainly affects males. It involves many endocrine tissues in the body, especially the adrenal glands."
40,Adrenocortical_carcinoma,Adrenocortical carcinoma ,"Adrenocortical carcinoma, also adrenal cortical carcinoma (ACC) and adrenal cortex cancer, is an aggressive cancer originating in the cortex (steroid hormone-producing tissue) of the adrenal gland. Adrenocortical carcinoma is a rare tumor, with incidence of 1–2 per million population annually.[1][2] Adrenocortical carcinoma has a bimodal distribution by age, with cases clustering in children under 5, and in adults 30–40 years old.[1] Adrenocortical carcinoma is remarkable for the many hormonal syndromes which can occur in patients with steroid hormone-producing (""functional"") tumors, including Cushing's syndrome, Conn syndrome, virilization, and feminization. Adrenocortical carcinoma has often invaded nearby tissues or metastasized to distant organs at the time of diagnosis, and the overall 5-year survival rate is only 20–35%.[1]"
41,Adrenogenital_syndrome,Congenital adrenal hyperplasia ,Congenital adrenal hyperplasia (CAH) are any of several autosomal recessive diseases resulting from mutations of genes for enzymes mediating the biochemical steps of production of cortisol from cholesterol by the adrenal glands (steroidogenesis).[1]
42,Adrenoleukodystrophy,Adrenoleukodystrophy ,"Adrenoleukodystrophy (also known as X-linked adrenoleukodystrophy, ALD, X-ALD, adrenomyeloneuropathy, AMN, Siemerling–Creutzfeldt disease or bronze Schilder disease) is a disorder of peroxisomal fatty acid beta oxidation which results in the accumulation of very-long chain fatty acids in tissues throughout the body. The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex and the Leydig cells in the testes. Clinically, ALD is a heterogenous disorder, presenting with several distinct phenotypes, and no clear pattern of genotype-phenotype correlation. As an X-linked disorder, ALD presents most commonly in males, however approximately 50% of heterozygote females show some symptoms later in life. Approximately two-thirds of ALD patients will present with the childhood cerebral form of the disease, which is the most severe form. It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in terms of onset and clinical severity, ranging from adrenal insufficiency to progressive paraparesis in early adulthood (this form of the disease is typically known as adrenomyeloneuropathy)."
43,Adrenoleukodystrophy_autosomal_neonatal_form,Adrenoleukodystrophy ,"Adrenoleukodystrophy (also known as X-linked adrenoleukodystrophy, ALD, X-ALD, adrenomyeloneuropathy, AMN, Siemerling–Creutzfeldt disease or bronze Schilder disease) is a disorder of peroxisomal fatty acid beta oxidation which results in the accumulation of very-long chain fatty acids in tissues throughout the body. The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex and the Leydig cells in the testes. Clinically, ALD is a heterogenous disorder, presenting with several distinct phenotypes, and no clear pattern of genotype-phenotype correlation. As an X-linked disorder, ALD presents most commonly in males, however approximately 50% of heterozygote females show some symptoms later in life. Approximately two-thirds of ALD patients will present with the childhood cerebral form of the disease, which is the most severe form. It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in terms of onset and clinical severity, ranging from adrenal insufficiency to progressive paraparesis in early adulthood (this form of the disease is typically known as adrenomyeloneuropathy)."
44,Adrenoleukodystrophy_Xlinked,Adrenoleukodystrophy ,"Adrenoleukodystrophy (also known as X-linked adrenoleukodystrophy, ALD, X-ALD, adrenomyeloneuropathy, AMN, Siemerling–Creutzfeldt disease or bronze Schilder disease) is a disorder of peroxisomal fatty acid beta oxidation which results in the accumulation of very-long chain fatty acids in tissues throughout the body. The most severely affected tissues are the myelin in the central nervous system, the adrenal cortex and the Leydig cells in the testes. Clinically, ALD is a heterogenous disorder, presenting with several distinct phenotypes, and no clear pattern of genotype-phenotype correlation. As an X-linked disorder, ALD presents most commonly in males, however approximately 50% of heterozygote females show some symptoms later in life. Approximately two-thirds of ALD patients will present with the childhood cerebral form of the disease, which is the most severe form. It is characterized by normal development in early childhood, followed by rapid degeneration to a vegetative state. The other forms of ALD vary in terms of onset and clinical severity, ranging from adrenal insufficiency to progressive paraparesis in early adulthood (this form of the disease is typically known as adrenomyeloneuropathy)."
45,Adultonset_Stills_disease,Adult-onset Still's disease ,"Adult-onset Still's disease (AOSD) is a rare systemic inflammatory disease characterized by the classic triad of persistent high spiking fevers, joint pain and a distinctive salmon-colored bumpy rash. The disease is considered a diagnosis of exclusion.[1] Levels of the iron-binding protein ferritin may be elevated with this disorder. AOSD may present in a similar manner to other inflammatory diseases and to autoimmune diseases, which must be ruled out before making the diagnosis. Prognosis is usually favorable but manifestations of the disease affecting the lungs, heart, or kidney may occasionally cause severe life-threatening complications.[2] It is treated first with steroids such as prednisone. Drugs that block the action of Interleukin-1, particularly IL-1ß, are effective treatments.[citation needed]"
46,Afibrinogenemia,Congenital afibrinogenemia ,"Congenital afibrinogenemia is a rare inherited blood disorder in which the blood does not clot normally due to a lack of or a malfunction involving fibrinogen, a protein necessary for coagulation.[1]"
47,African_trypanosomiasis,African trypanosomiasis ,"African trypanosomiasis or sleeping sickness[1] is a parasitic disease of humans and other animals. It is caused by protozoa of the species Trypanosoma brucei.[2] There are two types that infect humans, Trypanosoma brucei gambiense (T.b.g) and Trypanosoma brucei rhodesiense (T.b.r.).[1] T.b.g causes over 98% of reported cases.[1] Both are usually transmitted by the bite of an infected tsetse fly and are most common in rural areas.[1]"
48,Agammaglobulinemia,Hypogammaglobulinemia ,Hypogammaglobulinemia is a type of primary immune deficiency disease.[1]
49,Agnathia,Agnathia ,Agnathia (also termed hypognathous)[1] is absence of a portion or the entirety of one or both jaws.[1][2] It is a very rare condition.[1]
50,Agnosia_primary_visual,Visual agnosia ,"Visual agnosia is an impairment in recognition of visually presented objects. It is not due to a deficit in vision (acuity, visual field, and scanning), language, memory, or low intellect.[1] There are two types of visual agnosia: apperceptive agnosia and associative agnosia."
51,Agoraphobia,Agoraphobia ,"Agoraphobia is an anxiety disorder characterized by anxiety in situations where the sufferer perceives certain environments as dangerous or uncomfortable, often due to the environment's vast openness or crowdedness. These situations include wide-open spaces, as well as uncontrollable social situations such as the possibility of being met in shopping malls, airports, and on bridges. Agoraphobia is defined within the DSM-IV TR as a subset of panic disorder, involving the fear of incurring a panic attack in those environments.[1] In the DSM-5, however, agoraphobia is classified as being separate from panic disorder.[2] The sufferer may go to great lengths to avoid those situations, in severe cases becoming unable to leave their home or safe haven."
52,Agyria,Lissencephaly ,"Lissencephaly, which literally means smooth brain, is a rare brain formation disorder caused by defective neuronal migration during the 12th to 24th weeks of gestation resulting in a lack of development of brain folds (gyri) and grooves (sulci).[1] It is a form of cephalic disorder. Terms such as 'agyria' (no gyri) or 'pachygyria' (broad gyri) are used to describe the appearance of the surface of the brain. Children with lissencephaly generally have significant developmental delays, but these vary greatly from child to child depending on the degree of brain malformation and seizure control. Life expectancy can be shortened, generally due to respiratory problems."
53,AhumadaDel_Castillo_syndrome,Hyperprolactinaemia ,"Hyperprolactinaemia or hyperprolactinemia is the presence of abnormally high levels of prolactin in the blood. Normal levels are less than 500 mIU/L [20 ng/mL or µg/L] for women, and less than 450 mIU/L for men."
54,Albinism_ocular,Albinism ,"Albinism in humans (from the Latin albus, ""white""; see extended etymology, also called achromia, achromasia, or achromatosis) is a congenital disorder characterized by the complete or partial absence of pigment in the skin, hair and eyes due to absence or defect of tyrosinase, a copper-containing enzyme involved in the production of melanin. It is the opposite of melanism. Unlike humans, other animals have multiple pigments and for these, albinism is considered to be a hereditary condition characterised by the absence of pigment in the eyes, skin, hair, scales, feathers or cuticle.[1]"
55,Albrights_hereditary_osteodystrophy,Albright's hereditary osteodystrophy ,"Albright’s hereditary osteodystrophy consists of a constellation of features including a form of osteodystrophy,[1] that occur in pseudohypoparathyroidism type 1a."
56,Alcoholic_liver_cirrhosis,Cirrhosis ,"Cirrhosis /s<U+026A>'ro<U+028A>s<U+026A>s/ is a condition in which the liver does not function properly due to long-term damage. Typically, the disease comes on slowly over years. Early on, there are often no symptoms. As the disease worsens, a person may become tired, weak, itchy, have swelling in the lower legs, develop yellow skin, bruise easily, have fluid build up in the abdomen, or develop spider-like blood vessels on the skin. The fluid build-up in the abdomen may become spontaneously infected. Other complications include hepatic encephalopathy, bleeding from dilated esophageal veins, and liver cancer. Hepatic encephalopathy results in confusion and possibly unconsciousness.[1]"
57,Alexander_disease,Alexander disease ,"Alexander disease, also known as fibrinoid leukodystrophy, is a progressive and fatal neurodegenerative disease. It is a rare genetic disorder and mostly affects infants and children, causing developmental delay and changes in physical characteristics.[1][2][3]"
58,Alien_hand_syndrome,Alien hand syndrome ,"Alien hand syndrome (AHS) is a rare neurological disorder that causes hand movement without the person being aware of what is happening or having control over the action. The afflicted person may sometimes reach for objects and manipulate them without wanting to do so, even to the point of having to use the healthy hand to restrain the alien hand.[1]"
59,Allan8093Herndon8093Dudley_syndrome,Allan–Herndon–Dudley syndrome ,"Allan–Herndon–Dudley syndrome is a rare X-linked inherited disorder of brain development that causes moderate to severe intellectual disability and problems with movement. This condition, which occurs almost exclusively in males, disrupts development from before birth."
60,Allergic_angiitis,Churg–Strauss syndrome ,"Churg–Strauss syndrome (CSS, also known as eosinophilic granulomatosis with polyangiitis [EGPA] or allergic granulomatosis[1]) is an autoimmune condition that causes inflammation of small and medium-sized blood vessels (vasculitis) in persons with a history of airway allergic hypersensitivity (atopy). It usually manifests in three stages. The early (prodromal) stage is marked by airway inflammation; almost all patients experience asthma and/or allergic rhinitis. The second stage is characterized by abnormally high numbers of eosinophils (hypereosinophilia), which causes tissue damage, most commonly to the lungs and the digestive tract. The third stage consists of vasculitis, which can eventually lead to cell death and can be life-threatening."
61,Alopecia_areata,Alopecia areata ,"Alopecia areata (AA), also known as spot baldness, is an autoimmune disease in which hair is lost from some or all areas of the body, usually from the scalp due to the body's failure to recognize ""self"" and destroys its own tissue as if it were an invader.[1][2] Often it causes bald spots on the scalp, especially in the first stages. In 1–2% of cases, the condition can spread to the entire scalp (alopecia totalis) or to the entire epidermis (alopecia universalis). Conditions resembling AA, and having a similar cause, occur also in other species.[3]"
62,Alopecia_totalis,Alopecia totalis ,"Alopecia totalis is the loss of all head hair. Its causes are unclear, but believed to be autoimmune. Stress is thought to be a contributor in alopecia areata. However, many with the disorder lead relatively low stress lives."
63,Alpers_disease,Alpers' disease ,"Alpers' disease, also called Alpers' syndrome,[1]progressive sclerosing poliodystrophy, and progressive infantile poliodystrophy, is a progressive degenerative disease of the central nervous system that occurs mostly in infants and children. It is an autosomal recessive disorder meaning two copies of the defective gene is required for active disease, a single copy conveys carrier status. Alpers' disease is caused by certain genetic mutations in the POLG gene."
64,Alpha_1antitrypsin_deficiency,Alpha 1-antitrypsin deficiency ,"Alpha 1-antitrypsin deficiency (a1-antitrypsin deficiency, A1AD) is a genetic disorder that causes defective production of alpha 1-antitrypsin (A1AT), leading to decreased A1AT activity in the blood and lungs, and deposition of excessive abnormal A1AT protein in liver cells.[1][2] There are several forms and degrees of deficiency; the form and degree depend on whether the sufferer has one or two copies of the defective allele because it is a co-dominant trait. Severe A1AT deficiency causes panacinar emphysema or COPD in adult life in many people with the condition (especially if they are exposed to cigarette smoke).[3] The disorder can lead to various liver diseases in a minority of children and adults, and occasionally more unusual problems.[3] It is treated through avoidance of damaging inhalants and, in severe cases, by intravenous infusions of the A1AT protein or by transplantation of the liver or lungs. It usually produces some degree of disability and reduces life expectancy.[1]"
65,Alphathalassemia,Alpha-thalassemia ,"Alpha-thalassemia (a-thalassemia, a-thalassaemia) is a form of thalassemia involving the genes HBA1[1] and HBA2.[2] Alpha-thalassemia is due to impaired production of 1,2,3, or 4 alpha globin chains, leading to a relative excess of beta globin chains. The degree of impairment is based on which clinical phenotype is present (how many chains are affected)."
66,Alport_syndrome_dominant_type,Alport syndrome ,"Alport syndrome or hereditary nephritis is a genetic disorder[1] characterized by glomerulonephritis, end-stage kidney disease, and hearing loss.[2] Alport syndrome can also affect the eyes, causing eye abnormalities including cataracts, lenticonus, kerataconus, as well as retinal flecks in the macula and mid-periphery. Visibly bloody urine and protein in the urine are common features of this condition."
67,Alstroms_syndrome,Alström syndrome ,"Alström syndrome is a rare genetic disorder caused by mutations in the gene ALMS1. It is among the rarest genetic disorders in the world, as currently it has only 266 reported cases in medical literature and over 501 known cases in 47 countries. It was first described by Carl-Henry Alström in Sweden in 1959. Alstrom syndrome is sometimes confused with Bardet-Biedl syndrome, which has similar symptoms. Bardet-Biedl syndrome tends to have later onset in its symptoms."
68,Alternating_hemiplegia_of_childhood,Alternating hemiplegia of childhood ,"Alternating hemiplegia of childhood (AHC) is a rare neurological disorder of uncertain etiology,[1] though growing evidence strongly supports mutation of the ATP1A3 gene as the primary cause of this disease.[2][3] AHC is named for the transient episodes, often referred to as attacks or episodes, of hemiplegia from which those with the disorder suffer. These hemiplegic attacks can cause anything from mild weakness to complete paralysis on one or both sides of the body, and they can vary greatly in duration. Attacks may also alternate from one side of the body to the other, or alternate between affecting one or both sides during a single attack. AHC is associated with many symptoms besides hemiplegia, and the majority of these become apparent in early infancy. AHC typically presents before the age of 18 months. Normally, hemiplegia and other associated symptoms cease completely with sleep, but they may recur upon waking.[4] The disorder was only recently discovered, having first been characterized in 1971.[1][5] AHC is also extremely rare – approximately 1 in 1,000,000 people have this disorder. Besides hemiplegia, symptoms of the disorder include an extremely broad range of neurological and developmental impairments which are not well understood. Much of the literature about AHC is purposefully vague in this respect due to a lack of information on the disorder.[4]"
69,Alveolitis_extrinsic_allergic,Hypersensitivity pneumonitis ,"Hypersensitivity pneumonitis (HP; also called extrinsic allergic alveolitis, EAA) is an inflammation of the alveoli within the lung caused by hypersensitivity to inhaled organic dusts. Sufferers are commonly exposed to the dust by their occupation or hobbies."
70,Alzheimers_disease,Alzheimer's disease ,"Alzheimer's disease (AD), also known as Alzheimer disease, or just Alzheimer's, accounts for 60% to 70% of cases of dementia.[1][2] It is a chronic neurodegenerative disease that usually starts slowly and gets worse over time.[1][2] The most common early symptom is difficulty in remembering recent events (short-term memory loss).[1] As the disease advances, symptoms can include problems with language, disorientation (including easily getting lost), mood swings, loss of motivation, not managing self care, and behavioural issues.[1][2] As a person's condition declines, she or he often withdraws from family and society.[1] Gradually, bodily functions are lost, ultimately leading to death.[3] Although the speed of progression can vary, the average life expectancy following diagnosis is three to nine years.[4][5]"
71,Amelia_birth_defect,Amelia (birth defect) ,"Amelia (from Greek <U+1F00>- ""lack of"" plus µ<U+03AD><U+03BB><U+03BF><U+03C2> (plural: µ<U+03AD><U+03BB>ea or µ<U+03AD><U+03BB><U+03B7>) ""limb"") is the birth defect of lacking one or more limbs. It can also result in a shrunken or deformed limb. For example, a child might be born without an elbow or forearm. The term may be modified to indicate the number of legs or arms missing at birth, such as tetra-amelia for the absence of all four limbs. A related term is meromelia, which is the partial absence of a limb or limbs.[1]"
72,American_trypanosomiasis,Chagas disease ,"Chagas disease /'t<U+0283><U+0251><U+02D0>g<U+0259>s/, or American trypanosomiasis, is a tropical parasitic disease caused by the protozoan Trypanosoma cruzi.[1] It is spread mostly by insects known as triatominae or kissing bugs.[1] The symptoms change over the course of the infection. In the early stage, symptoms are typically either not present or mild and may include fever, swollen lymph nodes, headaches, or local swelling at the site of the bite.[1] After 8–12 weeks, individuals enter the chronic phase of disease and in 60–70% it never produces further symptoms.[2][3] The other 30 to 40% of people develop further symptoms 10 to 30 years after the initial infection,[3] including enlargement of the ventricles of the heart in 20 to 30%, leading to heart failure.[1] An enlarged esophagus or an enlarged colon may also occur in 10% of people.[1]"
73,Anaplasmosis,Anaplasmosis ,"Anaplasmosis is a disease caused by a rickettsial parasite of ruminants, Anaplasma spp. The organism occurs in the red blood cells and is transmitted by natural means through a number of haematophagous species of ticks. It can also be transmitted iatrogenically by the use of surgical, dehorning, castration, and tattoo instruments and hypodermic needles that are not disinfected between uses."
74,Anaplastic_thyroid_cancer,Anaplastic thyroid cancer ,Anaplastic thyroid cancer (ATC) is a form of thyroid cancer which has a very poor prognosis due to its aggressive behavior and resistance to cancer treatments.[1]
